id,pre_root_id,post_root_id,cleft_vx,ctr_pt_x_nm,ctr_pt_y_nm,ctr_pt_z_nm,pre_pos_x_vx,pre_pos_y_vx,pre_pos_z_vx,ctr_pos_x_vx,ctr_pos_y_vx,ctr_pos_z_vx,post_pos_x_vx,post_pos_y_vx,post_pos_z_vx,pre_cell_type,pre_cell_subtype,post_cell_type,post_cell_subtype
2246129,648518346349538179,648518346349539846,451,241744,149840,67640,60400,37472,1691,60436,37460,1691,60448,37408,1690,inhibitory,martinotti,inhibitory,basket
2246129,648518346349538179,648518346349539846,451,241744,149840,67640,60400,37472,1691,60436,37460,1691,60448,37408,1690,inhibitory,martinotti,inhibitory,basket
2246129,648518346349538179,648518346349539846,451,241744,149840,67640,60400,37472,1691,60436,37460,1691,60448,37408,1690,inhibitory,martinotti,inhibitory,basket
2246129,648518346349538179,648518346349539846,451,241744,149840,67640,60400,37472,1691,60436,37460,1691,60448,37408,1690,inhibitory,martinotti,inhibitory,basket
406784,648518346349536849,648518346349539846,95,238720,237552,45760,59656,59402,1145,59680,59388,1144,59702,59346,1145,inhibitory,unknown_type,inhibitory,basket
406784,648518346349536849,648518346349539846,95,238720,237552,45760,59656,59402,1145,59680,59388,1144,59702,59346,1145,inhibitory,unknown_type,inhibitory,basket
406784,648518346349536849,648518346349539846,95,238720,237552,45760,59656,59402,1145,59680,59388,1144,59702,59346,1145,inhibitory,unknown_type,inhibitory,basket
406784,648518346349536849,648518346349539846,95,238720,237552,45760,59656,59402,1145,59680,59388,1144,59702,59346,1145,inhibitory,unknown_type,inhibitory,basket
406784,648518346349536849,648518346349539846,95,238720,237552,45760,59656,59402,1145,59680,59388,1144,59702,59346,1145,inhibitory,unknown_type,inhibitory,basket
406784,648518346349536849,648518346349539846,95,238720,237552,45760,59656,59402,1145,59680,59388,1144,59702,59346,1145,inhibitory,unknown_type,inhibitory,basket
406784,648518346349536849,648518346349539846,95,238720,237552,45760,59656,59402,1145,59680,59388,1144,59702,59346,1145,inhibitory,unknown_type,inhibitory,basket
406784,648518346349536849,648518346349539846,95,238720,237552,45760,59656,59402,1145,59680,59388,1144,59702,59346,1145,inhibitory,unknown_type,inhibitory,basket
406784,648518346349536849,648518346349539846,95,238720,237552,45760,59656,59402,1145,59680,59388,1144,59702,59346,1145,inhibitory,unknown_type,inhibitory,basket
406784,648518346349536849,648518346349539846,95,238720,237552,45760,59656,59402,1145,59680,59388,1144,59702,59346,1145,inhibitory,unknown_type,inhibitory,basket
3019177,648518346349536849,648518346349539846,64,263640,230164,32840,65860,57582,822,65910,57541,821,65896,57482,822,inhibitory,unknown_type,inhibitory,basket
3503174,648518346349536849,648518346349539846,57,261408,230136,33640,65354,57590,842,65352,57534,841,65308,57496,842,inhibitory,unknown_type,inhibitory,basket
503343,648518346349536849,648518346349539846,218,321328,273620,31120,80338,68434,775,80332,68405,778,80296,68400,775,inhibitory,unknown_type,inhibitory,basket
700236,648518346349537389,648518346349537389,123,435016,285232,20760,108700,71318,518,108754,71308,519,108792,71306,518,inhibitory,bipolar,inhibitory,bipolar
700236,648518346349537389,648518346349537389,123,435016,285232,20760,108700,71318,518,108754,71308,519,108792,71306,518,inhibitory,bipolar,inhibitory,bipolar
548889,648518346349537404,648518346349537404,109,380296,278784,83440,95108,69732,2086,95074,69696,2086,95012,69668,2086,inhibitory,bipolar,inhibitory,bipolar
548889,648518346349537404,648518346349537404,109,380296,278784,83440,95108,69732,2086,95074,69696,2086,95012,69668,2086,inhibitory,bipolar,inhibitory,bipolar
2706447,648518346349538179,648518346349515986,1064,257488,221928,51680,64302,55392,1298,64372,55482,1292,64244,55458,1298,inhibitory,martinotti,inhibitory,bipolar
2690298,648518346349538179,648518346349515986,1014,259112,222904,51440,64968,55776,1287,64778,55726,1286,64910,55824,1287,inhibitory,martinotti,inhibitory,bipolar
2706447,648518346349538179,648518346349515986,1064,257488,221928,51680,64302,55392,1298,64372,55482,1292,64244,55458,1298,inhibitory,martinotti,inhibitory,bipolar
2706447,648518346349538179,648518346349515986,1064,257488,221928,51680,64302,55392,1298,64372,55482,1292,64244,55458,1298,inhibitory,martinotti,inhibitory,bipolar
2706447,648518346349538179,648518346349515986,1064,257488,221928,51680,64302,55392,1298,64372,55482,1292,64244,55458,1298,inhibitory,martinotti,inhibitory,bipolar
2706447,648518346349538179,648518346349515986,1064,257488,221928,51680,64302,55392,1298,64372,55482,1292,64244,55458,1298,inhibitory,martinotti,inhibitory,bipolar
2706447,648518346349538179,648518346349515986,1064,257488,221928,51680,64302,55392,1298,64372,55482,1292,64244,55458,1298,inhibitory,martinotti,inhibitory,bipolar
2706447,648518346349538179,648518346349515986,1064,257488,221928,51680,64302,55392,1298,64372,55482,1292,64244,55458,1298,inhibitory,martinotti,inhibitory,bipolar
2706447,648518346349538179,648518346349515986,1064,257488,221928,51680,64302,55392,1298,64372,55482,1292,64244,55458,1298,inhibitory,martinotti,inhibitory,bipolar
2706447,648518346349538179,648518346349515986,1064,257488,221928,51680,64302,55392,1298,64372,55482,1292,64244,55458,1298,inhibitory,martinotti,inhibitory,bipolar
1356504,648518346349538789,648518346349537404,202,332584,190808,48040,83182,47666,1203,83146,47702,1201,83082,47700,1203,inhibitory,neurogliaform,inhibitory,bipolar
1356504,648518346349538789,648518346349537404,202,332584,190808,48040,83182,47666,1203,83146,47702,1201,83082,47700,1203,inhibitory,neurogliaform,inhibitory,bipolar
3308770,648518346349488919,648518346349537389,121,430904,268956,31680,107646,67248,791,107726,67239,792,107750,67242,791,inhibitory,unknown_type,inhibitory,bipolar
3308770,648518346349488919,648518346349537389,121,430904,268956,31680,107646,67248,791,107726,67239,792,107750,67242,791,inhibitory,unknown_type,inhibitory,bipolar
3337511,648518346349488919,648518346349537389,242,434016,274560,31200,108460,68616,778,108504,68640,780,108510,68618,777,inhibitory,unknown_type,inhibitory,bipolar
3485655,648518346349488919,648518346349537389,56,430696,267864,32000,107616,66974,801,107674,66966,800,107710,66970,801,inhibitory,unknown_type,inhibitory,bipolar
3308770,648518346349488919,648518346349537389,121,430904,268956,31680,107646,67248,791,107726,67239,792,107750,67242,791,inhibitory,unknown_type,inhibitory,bipolar
2621925,648518346349538638,648518346349516051,850,259144,153960,70960,64714,38454,1778,64786,38490,1774,64720,38558,1778,inhibitory,chandelier,inhibitory,chandelier
2626656,648518346349516051,648518346349538638,860,263296,152224,63600,65816,38004,1586,65824,38056,1590,65736,38068,1586,inhibitory,chandelier,inhibitory,chandelier
2610835,648518346349538638,648518346349516051,829,229464,218504,46560,57284,54590,1163,57366,54626,1164,57284,54690,1163,inhibitory,chandelier,inhibitory,chandelier
2626656,648518346349516051,648518346349538638,860,263296,152224,63600,65816,38004,1586,65824,38056,1590,65736,38068,1586,inhibitory,chandelier,inhibitory,chandelier
3065381,648518346349538638,648518346349516051,694,261312,145816,76200,65334,36464,1913,65328,36454,1905,65218,36478,1913,inhibitory,chandelier,inhibitory,chandelier
2626656,648518346349516051,648518346349538638,860,263296,152224,63600,65816,38004,1586,65824,38056,1590,65736,38068,1586,inhibitory,chandelier,inhibitory,chandelier
2922284,648518346349538638,648518346349516051,317,281568,160396,29560,70400,40144,742,70392,40099,739,70338,40072,742,inhibitory,chandelier,inhibitory,chandelier
2626656,648518346349516051,648518346349538638,860,263296,152224,63600,65816,38004,1586,65824,38056,1590,65736,38068,1586,inhibitory,chandelier,inhibitory,chandelier
2626656,648518346349516051,648518346349538638,860,263296,152224,63600,65816,38004,1586,65824,38056,1590,65736,38068,1586,inhibitory,chandelier,inhibitory,chandelier
2621925,648518346349538638,648518346349516051,850,259144,153960,70960,64714,38454,1778,64786,38490,1774,64720,38558,1778,inhibitory,chandelier,inhibitory,chandelier
3444736,648518346349516055,648518346349538638,78,273856,195896,20200,68496,48970,508,68464,48974,505,68408,48892,508,inhibitory,unknown_type,inhibitory,chandelier
3444736,648518346349516055,648518346349538638,78,273856,195896,20200,68496,48970,508,68464,48974,505,68408,48892,508,inhibitory,unknown_type,inhibitory,chandelier
3444736,648518346349516055,648518346349538638,78,273856,195896,20200,68496,48970,508,68464,48974,505,68408,48892,508,inhibitory,unknown_type,inhibitory,chandelier
3323878,648518346349539846,648518346349538179,193,238128,253216,78760,59460,63224,1971,59532,63304,1969,59554,63256,1972,inhibitory,basket,inhibitory,martinotti
3323878,648518346349539846,648518346349538179,193,238128,253216,78760,59460,63224,1971,59532,63304,1969,59554,63256,1972,inhibitory,basket,inhibitory,martinotti
2009667,648518346349539846,648518346349538179,346,283640,234352,37360,70928,58596,929,70910,58588,934,70830,58536,929,inhibitory,basket,inhibitory,martinotti
857370,648518346349539846,648518346349538179,140,310304,223576,64440,77596,55952,1611,77576,55894,1611,77512,55902,1611,inhibitory,basket,inhibitory,martinotti
2379383,648518346349539846,648518346349538179,250,237692,251916,78960,59320,62974,1978,59423,62979,1974,59410,62936,1978,inhibitory,basket,inhibitory,martinotti
1302497,648518346349539846,648518346349538179,409,239572,256424,77600,59812,64088,1945,59893,64106,1940,59906,64130,1945,inhibitory,basket,inhibitory,martinotti
3245730,648518346349515986,648518346349538179,110,297580,211932,37840,74374,53008,948,74395,52983,946,74356,52918,947,inhibitory,bipolar,inhibitory,martinotti
3245730,648518346349515986,648518346349538179,110,297580,211932,37840,74374,53008,948,74395,52983,946,74356,52918,947,inhibitory,bipolar,inhibitory,martinotti
3245730,648518346349515986,648518346349538179,110,297580,211932,37840,74374,53008,948,74395,52983,946,74356,52918,947,inhibitory,bipolar,inhibitory,martinotti
2891080,648518346349515986,648518346349538179,498,277492,169364,32840,69388,42306,822,69373,42341,821,69320,42356,822,inhibitory,bipolar,inhibitory,martinotti
2983454,648518346349515986,648518346349538179,475,298228,213504,35960,74532,53318,898,74557,53376,899,74514,53406,898,inhibitory,bipolar,inhibitory,martinotti
1978581,648518346349515986,648518346349538179,336,295552,212208,33680,73812,53050,838,73888,53052,842,73910,53060,837,inhibitory,bipolar,inhibitory,martinotti
2001312,648518346349515986,648518346349538179,343,277264,171384,32520,69354,42778,818,69316,42846,813,69252,42754,818,inhibitory,bipolar,inhibitory,martinotti
3070892,648518346349515986,648518346349538179,541,339704,177316,6120,84904,44302,148,84926,44329,153,84810,44270,148,inhibitory,bipolar,inhibitory,martinotti
1533469,648518346349515986,648518346349538179,603,341308,180440,7040,85308,45114,180,85327,45110,176,85280,45062,179,inhibitory,bipolar,inhibitory,martinotti
2318833,648518346349515986,648518346349538179,497,279384,166328,30440,69756,41566,761,69846,41582,761,69796,41636,761,inhibitory,bipolar,inhibitory,martinotti
2149926,648518346349537404,648518346349538789,162,373896,235140,70560,93566,58870,1764,93474,58785,1764,93642,58820,1765,inhibitory,bipolar,inhibitory,neurogliaform
2149926,648518346349537404,648518346349538789,162,373896,235140,70560,93566,58870,1764,93474,58785,1764,93642,58820,1765,inhibitory,bipolar,inhibitory,neurogliaform
588263,648518346349539846,648518346349538053,112,295432,249952,4800,73892,62466,122,73858,62488,120,73790,62466,122,inhibitory,basket,pyramidal,pyramidal cell
489026,648518346349528994,648518346349539333,103,332592,164472,57720,83094,41126,1444,83148,41118,1443,83168,41070,1444,inhibitory,basket,pyramidal,pyramidal cell
8230,648518346349539846,648518346349535192,435,305400,187124,28240,76332,46746,702,76350,46781,706,76284,46838,703,inhibitory,basket,pyramidal,pyramidal cell
109904,648518346349538791,648518346349533482,690,244464,208084,25440,61124,52010,643,61116,52021,636,61022,52006,643,inhibitory,basket,pyramidal,pyramidal cell
3192431,648518346349539215,648518346349537840,497,375640,201532,14960,93838,50430,376,93910,50383,374,93856,50332,376,inhibitory,basket,pyramidal,pyramidal cell
3192431,648518346349539215,648518346349537840,497,375640,201532,14960,93838,50430,376,93910,50383,374,93856,50332,376,inhibitory,basket,pyramidal,pyramidal cell
167729,648518346349528994,648518346349539886,75,310200,193352,21560,77498,48326,538,77550,48338,539,77600,48328,538,inhibitory,basket,pyramidal,pyramidal cell
588263,648518346349539846,648518346349538053,112,295432,249952,4800,73892,62466,122,73858,62488,120,73790,62466,122,inhibitory,basket,pyramidal,pyramidal cell
268408,648518346349528994,648518346349538056,83,291976,163112,27800,72918,40778,695,72994,40778,695,72958,40706,695,inhibitory,basket,pyramidal,pyramidal cell
268408,648518346349528994,648518346349538056,83,291976,163112,27800,72918,40778,695,72994,40778,695,72958,40706,695,inhibitory,basket,pyramidal,pyramidal cell
268408,648518346349528994,648518346349538056,83,291976,163112,27800,72918,40778,695,72994,40778,695,72958,40706,695,inhibitory,basket,pyramidal,pyramidal cell
424170,648518346349539215,648518346349539853,97,329712,202424,25080,82392,50594,627,82428,50606,627,82416,50564,625,inhibitory,basket,pyramidal,pyramidal cell
1033811,648518346349528994,648518346349539853,319,382276,205744,28360,95480,51370,712,95569,51436,709,95560,51340,712,inhibitory,basket,pyramidal,pyramidal cell
1033811,648518346349528994,648518346349539853,319,382276,205744,28360,95480,51370,712,95569,51436,709,95560,51340,712,inhibitory,basket,pyramidal,pyramidal cell
605938,648518346349539215,648518346349537487,193,302520,213976,13760,75550,53524,343,75630,53494,344,75640,53512,342,inhibitory,basket,pyramidal,pyramidal cell
1981513,648518346349528994,648518346349539560,337,286600,166952,10400,71586,41744,264,71650,41738,260,71682,41726,264,inhibitory,basket,pyramidal,pyramidal cell
1981513,648518346349528994,648518346349539560,337,286600,166952,10400,71586,41744,264,71650,41738,260,71682,41726,264,inhibitory,basket,pyramidal,pyramidal cell
1981513,648518346349528994,648518346349539560,337,286600,166952,10400,71586,41744,264,71650,41738,260,71682,41726,264,inhibitory,basket,pyramidal,pyramidal cell
1981513,648518346349528994,648518346349539560,337,286600,166952,10400,71586,41744,264,71650,41738,260,71682,41726,264,inhibitory,basket,pyramidal,pyramidal cell
1981513,648518346349528994,648518346349539560,337,286600,166952,10400,71586,41744,264,71650,41738,260,71682,41726,264,inhibitory,basket,pyramidal,pyramidal cell
1981513,648518346349528994,648518346349539560,337,286600,166952,10400,71586,41744,264,71650,41738,260,71682,41726,264,inhibitory,basket,pyramidal,pyramidal cell
2328390,648518346349528994,648518346349538250,505,338904,183584,79440,84672,45886,1992,84726,45896,1986,84756,45924,1992,inhibitory,basket,pyramidal,pyramidal cell
2282698,648518346349528994,648518346349538478,476,375960,213832,54680,93978,53522,1367,93990,53458,1367,93926,53434,1367,inhibitory,basket,pyramidal,pyramidal cell
2282698,648518346349528994,648518346349538478,476,375960,213832,54680,93978,53522,1367,93990,53458,1367,93926,53434,1367,inhibitory,basket,pyramidal,pyramidal cell
2282698,648518346349528994,648518346349538478,476,375960,213832,54680,93978,53522,1367,93990,53458,1367,93926,53434,1367,inhibitory,basket,pyramidal,pyramidal cell
3192431,648518346349539215,648518346349537840,497,375640,201532,14960,93838,50430,376,93910,50383,374,93856,50332,376,inhibitory,basket,pyramidal,pyramidal cell
