cell_segid,centroid_x,centroid_y,centroid_z,cell_type_x,cell_subtype,id,cell_type_y,pt_position,soma_x_nm,soma_y_nm,soma_z_nm
648518346349538721,43376,66912,1947,pyramidal,pyramidal cell,253,e,[43444 66948  1954],173776,173776,1737760
648518346349538100,67728,43232,1997,pyramidal,pyramidal cell,180,e,[67503 43305  1983],270012,270012,2700120
648518346349538462,48960,53216,1038,pyramidal,pyramidal cell,284,e,[49202 53214  1059],196808,196808,1968080
648518346349533350,104320,46432,596,pyramidal,pyramidal cell,442,e,[104383  46534    600],417532,417532,4175320
648518346349538291,70704,43152,1683,pyramidal,pyramidal cell,87,e,[70352 43027  1662],281408,281408,2814080
648518346349538478,88704,54768,1372,pyramidal,pyramidal cell,54,e,[89241 54545  1325],356964,356964,3569640
648518346349539071,108512,45328,1138,pyramidal,pyramidal cell,20,e,[108628  45213   1136],434512,434512,4345120
648518346349523975,96176,50064,40,pyramidal,pyramidal cell,291,e,[96050 50082    38],384200,384200,3842000
648518346349538787,90832,43184,580,pyramidal,pyramidal cell,23,e,[90668 43058   601],362672,362672,3626720
648518346349538410,103968,50656,870,pyramidal,pyramidal cell,67,e,[103967  50727    891],415868,415868,4158680
648518346349538133,68944,45472,2141,pyramidal,pyramidal cell,208,e,[68940 45487  2156],275760,275760,2757600
648518346349538466,83920,50688,1441,pyramidal,pyramidal cell,453,e,[84054 50604  1424],336216,336216,3362160
648518346349539423,105824,51248,1223,pyramidal,pyramidal cell,18,e,[105882  51444   1198],423528,423528,4235280
648518346349531530,113152,62976,1638,pyramidal,pyramidal cell,135,e,[113222  62831   1621],452888,452888,4528880
648518346349537993,85472,51376,1663,pyramidal,pyramidal cell,163,e,[85476 51389  1669],341904,341904,3419040
648518346349539865,87712,71792,406,pyramidal,pyramidal cell,273,e,[87582 71826   394],350328,350328,3503280
648518346349537514,88656,46624,493,pyramidal,pyramidal cell,53,e,[88839 46716   482],355356,355356,3553560
648518346349539560,73152,46528,546,pyramidal,pyramidal cell,78,e,[73015 46686   528],292060,292060,2920600
648518346349537385,56848,42416,1279,pyramidal,pyramidal cell,82,e,[56923 42306  1341],227692,227692,2276920
648518346349538426,86160,62928,254,pyramidal,pyramidal cell,177,e,[86149 62948   246],344596,344596,3445960
648518346349539906,59680,57216,1041,pyramidal,pyramidal cell,55,e,[59733 57168  1043],238932,238932,2389320
648518346349537482,117712,51392,1774,pyramidal,pyramidal cell,215,e,[117595  51484   1769],470380,470380,4703800
648518346349539727,54656,46576,1245,pyramidal,pyramidal cell,83,e,[54923 46631  1248],219692,219692,2196920
648518346349539368,81312,63584,201,pyramidal,pyramidal cell,439,e,[81245 63448   184],324980,324980,3249800
648518346349536966,91936,63008,524,pyramidal,pyramidal cell,40,e,[91850 62808   523],367400,367400,3674000
648518346349493874,100432,37344,2118,pyramidal,pyramidal cell,315,e,[100322  38374   2074],401288,401288,4012880
648518346349538239,63552,55440,2038,pyramidal,pyramidal cell,197,e,[63502 55668  1980],254008,254008,2540080
648518346349494577,106256,39024,1991,pyramidal,pyramidal cell,313,e,[106368  39089   1996],425472,425472,4254720
648518346349539096,86720,63616,1960,pyramidal,pyramidal cell,160,e,[86798 63278  1940],347192,347192,3471920
648518346349539095,77504,62992,1685,pyramidal,pyramidal cell,111,e,[77857 63138  1702],311428,311428,3114280
648518346349539853,96864,51376,820,pyramidal,pyramidal cell,31,e,[96996 51391   819],387984,387984,3879840
648518346349539832,116816,47296,1264,pyramidal,pyramidal cell,339,e,[116817  47284   1276],467268,467268,4672680
648518346349537687,98752,42576,1540,pyramidal,pyramidal cell,91,e,[98689 42498  1546],394756,394756,3947560
648518346349540053,111440,63536,445,pyramidal,pyramidal cell,299,e,[111526  63484    458],446104,446104,4461040
648518346349531526,55824,59200,874,pyramidal,pyramidal cell,136,e,[55887 59103   879],223548,223548,2235480
