,centroid_x,centroid_y,centroid_z,cell_segid,cell_type,cell_subtype
961,71232,65232,1852,648518346349537692,pyramidal,pyramidal cell
962,97040,72896,1327,648518346349537380,pyramidal,pyramidal cell
963,60816,65120,1513,648518346349531668,pyramidal,pyramidal cell
964,102224,61600,1557,648518346349539100,pyramidal,pyramidal cell
965,115488,70032,1843,648518346349539510,pyramidal,pyramidal cell
966,94912,66224,1336,648518346349539934,pyramidal,pyramidal cell
967,62480,41056,1763,648518346349537426,pyramidal,pyramidal cell
968,79168,40944,1717,648518346349538718,pyramidal,pyramidal cell
969,82512,44304,1701,648518346349524971,pyramidal,pyramidal cell
970,89600,40496,1577,648518346349538250,pyramidal,pyramidal cell
971,102560,77648,1868,648518346349525852,pyramidal,pyramidal cell
972,81920,49344,310,648518346349539884,pyramidal,pyramidal cell
973,97488,44752,464,648518346349537978,pyramidal,pyramidal cell
974,66160,57680,539,648518346349537547,pyramidal,pyramidal cell
975,105696,48992,1278,648518346349539486,pyramidal,pyramidal cell
976,50816,49728,2006,648518346349534945,pyramidal,pyramidal cell
977,45728,53488,1644,648518346349530883,pyramidal,pyramidal cell
978,68592,66080,800,648518346349539900,pyramidal,pyramidal cell
979,101264,48560,493,648518346349538192,pyramidal,pyramidal cell
37,66720,75200,837,648518346349526691,inhibitory,unknown_type
107,86768,55856,1230,648518346349528994,inhibitory,basket
280,104432,58272,821,648518346349489861,inhibitory,bipolar
301,99984,54144,2124,648518346349522740,inhibitory,unknown_type
382,72384,51808,889,648518346349538285,inhibitory,bipolar
393,73584,60096,990,648518346349487752,inhibitory,bipolar
528,79008,47600,63,648518346349493894,inhibitory,unknown_type
553,60976,66672,1941,648518346349538179,inhibitory,martinotti
560,70320,51456,1958,648518346349522735,inhibitory,bipolar
574,104752,74976,238,648518346349489985,inhibitory,unknown_type
606,57680,38672,2131,648518346349531994,inhibitory,unknown_type
616,85920,70832,683,648518346349517783,inhibitory,unknown_type
624,98336,73312,1047,648518346349487432,inhibitory,bipolar
662,91296,71168,1755,648518346349477331,inhibitory,bipolar
668,60080,58736,1296,648518346349539846,inhibitory,basket
672,105440,63712,635,648518346349488919,inhibitory,unknown_type
675,108288,67648,681,648518346349537389,inhibitory,bipolar
687,81104,46752,696,648518346349515986,inhibitory,bipolar
696,106144,58976,529,648518346349522749,inhibitory,bipolar
703,115536,42992,1870,648518346349538370,inhibitory,unknown_type
731,113296,51456,1917,648518346349525188,inhibitory,unknown_type
